mhi,pop,pop_black,STATEFP,COUNTYFP,TRACTCE,FIPS,P_black
90221.0,5147.0,88.0,13,117,130203,13117130203,0.017097338255294345
74055.0,6738.0,75.0,13,117,130204,13117130204,0.011130899376669634
73409.0,4717.0,413.0,13,117,130205,13117130205,0.08755564977740089
117995.0,5888.0,93.0,13,117,130301,13117130301,0.01579483695652174
128869.0,7928.0,145.0,13,117,130302,13117130302,0.01828960645812311
92988.0,3588.0,153.0,13,117,130303,13117130303,0.042642140468227424
77260.0,5933.0,5176.0,13,089,023315,13089023315,0.8724085622787797
69120.0,8865.0,8555.0,13,089,023316,13089023316,0.9650310208685843
69087.0,10658.0,10053.0,13,089,023419,13089023419,0.9432351285419404
43165.0,9102.0,8582.0,13,089,023421,13089023421,0.9428696989672599
69966.0,6576.0,4960.0,13,151,070107,13151070107,0.754257907542579
67159.0,5641.0,4271.0,13,151,070108,13151070108,0.7571352597057259
70174.0,3658.0,1474.0,13,151,070109,13151070109,0.40295243302351014
82901.0,7809.0,2782.0,13,151,070110,13151070110,0.35625560250992444
52259.0,8462.0,5678.0,13,151,070111,13151070111,0.6709997636492555
47566.0,4140.0,1183.0,13,151,070113,13151070113,0.2857487922705314
88135.0,4987.0,1486.0,13,151,070204,13151070204,0.2979747343092039
78520.0,4294.0,1797.0,13,151,070307,13151070307,0.41849091755938517
92083.0,5139.0,1804.0,13,151,070310,13151070310,0.35104105857170653
48146.0,11603.0,8647.0,13,151,070311,13151070311,0.7452383004395415
62479.0,11557.0,2350.0,13,151,070403,13151070403,0.20333996711949467
64528.0,8384.0,3455.0,13,151,070404,13151070404,0.41209446564885494
63170.0,7526.0,3448.0,13,151,070501,13151070501,0.4581450969970768
48986.0,5208.0,3274.0,13,151,070114,13151070114,0.6286482334869432
69006.0,11914.0,3592.0,13,217,100100,13217100100,0.30149404062447543
52823.0,9636.0,4504.0,13,217,100300,13217100300,0.46741386467413865
64662.0,4028.0,24.0,13,227,050400,13227050400,0.005958291956305859
94013.0,5374.0,107.0,13,227,050100,13227050100,0.019910681056940827
57325.0,6591.0,165.0,13,227,050200,13227050200,0.025034137460172964
64706.0,6110.0,9.0,13,227,050600,13227050600,0.0014729950900163667
58438.0,4594.0,0.0,13,227,050300,13227050300,0.0
59545.0,4690.0,19.0,13,227,050500,13227050500,0.004051172707889125
24890.0,2551.0,2362.0,13,121,008500,13121008500,0.9259114072912583
72432.0,8007.0,2720.0,13,121,008902,13121008902,0.33970276008492567
152500.0,5213.0,19.0,13,121,009900,13121009900,0.0036447343180510262
81952.0,4371.0,1017.0,13,121,010106,13121010106,0.23266986959505834
103828.0,5607.0,215.0,13,121,010205,13121010205,0.03834492598537542
72022.0,4029.0,812.0,13,121,010208,13121010208,0.20153884338545544
75636.0,21010.0,19263.0,13,121,010301,13121010301,0.9168491194669205
43986.0,7495.0,6742.0,13,121,010507,13121010507,0.8995330220146764
158011.0,6175.0,149.0,13,121,000200,13121000200,0.024129554655870446
62656.0,5064.0,1697.0,13,121,001900,13121001900,0.33511058451816744
71210.0,2425.0,951.0,13,121,002900,13121002900,0.3921649484536082
113125.0,3630.0,343.0,13,121,003000,13121003000,0.09449035812672177
36750.0,2846.0,2204.0,13,121,004300,13121004300,0.7744202389318342
42679.0,1479.0,1057.0,13,121,005800,13121005800,0.7146720757268424
61507.0,8448.0,166.0,13,085,970100,13085970100,0.019649621212121212
35301.0,5740.0,2613.0,13,063,040302,13063040302,0.45522648083623696
38023.0,6666.0,4173.0,13,063,040303,13063040303,0.626012601260126
49265.0,3892.0,3527.0,13,063,040510,13063040510,0.9062178828365879
56328.0,6535.0,5073.0,13,063,040516,13063040516,0.7762815608263198
95603.0,4971.0,2226.0,13,063,040614,13063040614,0.44779722389861193
33276.0,2850.0,2271.0,13,063,040202,13063040202,0.7968421052631579
54265.0,7329.0,4584.0,13,063,040413,13063040413,0.6254604993860008
57924.0,13311.0,8216.0,13,063,040411,13063040411,0.6172338667267674
46530.0,7920.0,4765.0,13,063,040412,13063040412,0.6016414141414141
43905.0,7778.0,6058.0,13,063,040514,13063040514,0.7788634610439702
41016.0,5552.0,4787.0,13,063,040512,13063040512,0.8622118155619597
75135.0,8399.0,5301.0,13,063,040613,13063040613,0.63114656506727
38977.0,7359.0,5483.0,13,063,040515,13063040515,0.7450740589754042
40995.0,6850.0,3841.0,13,063,040611,13063040611,0.5607299270072993
103239.0,11939.0,619.0,13,057,090803,13057090803,0.051846888349107965
97135.0,9670.0,567.0,13,057,090804,13057090804,0.058634953464322646
64873.0,10465.0,894.0,13,057,090904,13057090904,0.08542761586239847
63723.0,4206.0,149.0,13,057,090905,13057090905,0.035425582501188775
103387.0,6719.0,322.0,13,057,091007,13057091007,0.04792379818425361
91549.0,9507.0,951.0,13,057,091008,13057091008,0.10003155569580309
28422.0,4262.0,2139.0,13,063,040308,13063040308,0.501877053026748
80858.0,7515.0,6883.0,13,089,023423,13089023423,0.9159015302727878
73652.0,6057.0,5592.0,13,089,023425,13089023425,0.9232293214462606
74083.0,4693.0,4358.0,13,089,023426,13089023426,0.9286170892819092
62969.0,2789.0,2477.0,13,089,023427,13089023427,0.8881319469343851
39408.0,10151.0,9720.0,13,089,023428,13089023428,0.9575411289528125
-666666666.0,0.0,0.0,13,089,980000,13089980000,
66552.0,6224.0,6050.0,13,089,023422,13089023422,0.9720437017994858
64375.0,5533.0,5114.0,13,089,023424,13089023424,0.9242725465389481
48239.0,7616.0,4828.0,13,097,080103,13097080103,0.6339285714285714
41587.0,3603.0,1414.0,13,097,080303,13097080303,0.3924507354981959
39140.0,5463.0,3113.0,13,097,080304,13097080304,0.5698334248581366
63078.0,8288.0,5999.0,13,097,080102,13097080102,0.7238175675675675
73622.0,4817.0,1573.0,13,097,080403,13097080403,0.32655179572347937
70167.0,8201.0,3472.0,13,097,080404,13097080404,0.42336300451164494
64468.0,5339.0,1978.0,13,097,080508,13097080508,0.3704813635512268
88580.0,6189.0,2869.0,13,097,080509,13097080509,0.46356438843108744
77971.0,8492.0,4132.0,13,097,080510,13097080510,0.48657560056523785
99850.0,9531.0,5445.0,13,097,080511,13097080511,0.5712936732766761
81139.0,7293.0,3208.0,13,097,080603,13097080603,0.4398738516385575
96667.0,7314.0,1024.0,13,067,030502,13067030502,0.1400054689636314
51744.0,6895.0,2635.0,13,067,030505,13067030505,0.3821609862218999
54205.0,6135.0,1286.0,13,067,030800,13067030800,0.20961695191524043
44507.0,8313.0,3706.0,13,067,031004,13067031004,0.4458077709611452
76182.0,8628.0,3560.0,13,067,031106,13067031106,0.41261010662957814
57610.0,5190.0,2327.0,13,067,031108,13067031108,0.4483622350674374
53227.0,5194.0,1786.0,13,067,031308,13067031308,0.3438582980361956
52960.0,6899.0,4046.0,13,067,031309,13067031309,0.5864618060588491
38231.0,8613.0,5269.0,13,067,031310,13067031310,0.611749680715198
48983.0,12054.0,7675.0,13,151,070304,13151070304,0.6367181018748963
58134.0,6176.0,2523.0,13,151,070106,13151070106,0.40851683937823835
71927.0,11353.0,5424.0,13,151,070306,13151070306,0.47775918259490885
104632.0,18312.0,4462.0,13,151,070203,13151070203,0.24366535605067716
94963.0,9679.0,4815.0,13,151,070305,13151070305,0.49746874677136066
34517.0,7938.0,5208.0,13,063,040612,13063040612,0.656084656084656
49519.0,5915.0,3331.0,13,063,040409,13063040409,0.5631445477599324
49719.0,7166.0,4442.0,13,063,040410,13063040410,0.6198716159642758
64849.0,4698.0,4274.0,13,063,040509,13063040509,0.9097488292890592
49271.0,4046.0,2001.0,13,063,040407,13063040407,0.4945625308947108
43841.0,5789.0,4691.0,13,063,040518,13063040518,0.8103299360856797
45800.0,3894.0,1865.0,13,063,040606,13063040606,0.4789419619928095
68047.0,13393.0,10308.0,13,063,040608,13063040608,0.7696557903382364
25060.0,2327.0,2170.0,13,121,008301,13121008301,0.9325311559948432
32044.0,6824.0,6188.0,13,121,007300,13121007300,0.906799531066823
41529.0,7234.0,7011.0,13,121,007806,13121007806,0.9691733480785181
43854.0,5529.0,5184.0,13,121,008000,13121008000,0.9376017362995117
24183.0,2649.0,2293.0,13,121,008400,13121008400,0.8656096640241601
37708.0,1562.0,1398.0,13,121,008602,13121008602,0.8950064020486556
111146.0,5341.0,432.0,13,121,009000,13121009000,0.08088372963864444
106128.0,5298.0,209.0,13,121,009300,13121009300,0.03944884862212156
75088.0,5537.0,1105.0,13,121,009402,13121009402,0.19956655228463066
