placekey,location_name,brands,latitude,longitude,category_tags,opened_on,closed_on
224-223@8g6-xrc-xt9,G Street Sports Bar & Lounge,,33.551601,-84.258654,"Bar or Pub,Cocktail Lounge,Hookah,Late Night",,2020-01
222-224@8g7-472-mzf,Dream's Gentlemen's Club,,33.801782,-84.407207,Late Night,,
222-223@8g6-yf2-gkz,Kobe Steak And Sushi Bar,,34.145095,-84.249793,"Japanese Food,Steak House,Sushi",,2022-03
227-222@8gb-6qw-66k,BRIX On Main,,34.066076,-84.678121,"Bar or Pub,Late Night,Tapas,Wine Bar",,2021-10
224-222@8g7-453-kmk,Tubby's Tavern,,33.746994,-84.700429,"Bar or Pub,Late Night",,2020-01
223-223@8g6-ytk-n89,Champion Billiard,,33.956386,-84.140366,"Late Night,Pool and Billiards",,
22b-223@8g7-njj-33q,The Loft,,33.958102,-83.376212,"Dance Club,Late Night",,2021-10
224-222@8g6-ymt-yvz,XS Restaurant & Lounge,,33.841392,-84.325207,"Bar or Pub,Cocktail Lounge,Fine Dining,Late Night",,2021-10
22y-222@8gd-q2n-m49,Octane Bar,,32.079792,-81.093078,"Bar or Pub,Cocktail Lounge,Late Night",,
zzw-222@8g7-3xy-gp9,Bella A Baltimore Crab & Seafood Company,,33.66686,-84.549195,"American Food,Bar or Pub,Brunch,Cocktail Lounge,Late Night",,
zzy-222@8gd-q2n-kj9,The Wayward,,32.074955,-81.091611,"Bar or Pub,Late Night",,
zzw-223@8g6-y3b-5cq,Salt Factory Pub,,34.072459,-84.295193,Bar or Pub,,
22f-222@8g7-bfw-j9z,Blue Sky Kitchen,,33.476341,-81.969703,"Bar or Pub,Late Night,Sports Bar",,2020-01
228-222@8g7-njj-2kz,Copper Creek Brewing,,33.958767,-83.376643,"Bar or Pub,Brewery or Brewpub,Late Night",,2020-01
224-222@8g7-479-x89,Alibi Lounge,,33.780797,-84.389263,"Bar or Pub,Dance Club,Hookah,Late Night",,2022-10
233-222@8gd-q2n-kxq,Jazz'd Tapas Bar,,32.079765,-81.093866,Tapas,,
223-222@8gd-qbw-435,The Oyster Bar,,32.080544,-81.086073,"Bar or Pub,Late Night",,2020-01
222-223@8gd-n7m-3qz,Jt's Pub & Grill,,32.004916,-81.285677,"Bar or Pub,Late Night,Sports Bar",,2020-01
225-222@8gm-g9s-hnq,Tc Rose,,33.586648,-85.099164,"Bar or Pub,Late Night",,
zzy-223@8gd-hvc-dd9,Angel's Sunset Island,,32.197614,-81.196063,"American Food,Karaoke,Late Night",,2022-10
zzy-222@8gp-ybv-d7q,GameTime Sports Bar,,31.843727,-81.254758,"Bar or Pub,Burgers,Chicken Wings,Late Night,Sports Bar",,
224-222@8gd-nhs-hwk,Big Apple,,31.851727,-81.583322,Late Night,,2020-01
232-224@8g7-njh-zfz,Five Bar,,33.957996,-83.378705,"American Food,Bar or Pub,Late Night,Salad",,
222-222@8gj-gm8-87q,Temp Coffee and Brew,,31.641757,-84.175846,"Bar or Pub,Coffee Shop,Late Night",,
222-222@8gn-jcg-bp9,Foxy Lady,,32.437678,-84.959629,Late Night,,
zzw-222@8g7-46m-x89,The Hookah Hideaway,,33.755811,-84.380077,"Bar or Pub,Hookah,Late Night",,2020-01
zzw-222@8g7-2zs-yjv,Sticks Pool Room,,33.381934,-84.300014,"Late Night,Pool and Billiards",,2020-08
zzw-222@8g7-4q3-kzz,Jazz Cafe,,33.570976,-84.350396,"Dance Club,Fine Dining,Jazz and Blues,Late Night",,2020-01
zzw-222@8g7-46p-rhq,3 Parks Wine Shop,,33.741148,-84.35833,"Bar or Pub,Late Night,Tasting Classes,Wine Bar",,
zzw-22j@8g6-yjy-2hq,The Pub Perimeter,,33.923907,-84.339806,"Bar or Pub,Late Night",,2020-01
zzy-222@8g6-ykz-bhq,Willow Bar,,33.839306,-84.375005,"Bar or Pub,Late Night",,
zzw-222@8g6-yqd-g6k,Beer Barrel,,33.950519,-84.514292,"Bar or Pub,Dive Bar,Late Night",,
224-222@8gb-px9-8n5,Gasthaus Tirol,,34.201247,-84.134063,"Beer Garden,German Food,Late Night,Salad",,
228-222@8gj-4rq-ct9,Hill Street Club,,30.781421,-83.568879,Late Night,,
224-222@8g8-7nh-cqz,The Dawg House,,32.535037,-84.905707,"Bar or Pub,Dive Bar,Late Night,Sports Bar",,
zzw-226@8g6-y4q-5pv,Cafe Lucia,,34.030973,-84.36163,"Bar or Pub,Brunch,Coffee Shop,Late Night",,2021-10
227-223@8g7-bfw-jy9,Garden City Social,,33.478112,-81.972173,"Bar or Pub,Dance Club,Late Night",,
zzw-222@8gh-nxw-z9f,Donalsonville Country Club,,30.972006,-84.876279,Country Club,,
